institution,course,type,salary6monthsafter,mediantariff
10000291,Pharmaceutical  Science,BSc,22000,64
10000291,Pharmaceutical  Science,BSc,22000,58
10000291,Philosophy,BA,18000,85.625
10000291,Photography,BA,16000,99
10000291,Policing  and  Criminal  Justice,BSc,18000,91.785713
10000291,Politics,BA,21000,97.428574
10000291,Popular  Music,BA,17000,80
10000291,Primary  Education  Studies,BA,17000,115.21429
10000291,Professional  Dance  and  Musical  Theatre,BA,18000,103.94118
10000291,Psychology,BSc,18000,94.42308
10000291,Psychology  and  Criminology,BSc,18000,80
10000291,Psychosocial  Studies,BA,18000,93.846153
10000291,Psychosocial  Studies,BA,18000,93.846153
10000291,Psychosocial  Studies,BA,27000,0
10000291,Psychosocial  Studies,BA,27000,0
10000291,Public  Health,BSc,22000,80
10000291,Public  Service,BA,18000,91.785713
10000291,Quantity  Surveying,BSc,27000,89
10000291,Quantity  Surveying,BSc,38000,0
10000291,Quantity  Surveying,BSc,27000,89
10000291,Sales,BA,29000,0
10000291,Smart  Computing,BSc,24000,94.210526
10000291,Smart  Computing,BSc,24000,94.210526
10000291,Social  Policy,BA,18000,87.5
10000291,Social  Policy,BA,27000,0
10000291,Social  Work,BA,26000,138
10000291,Social  Work,BA,27000,0
10000291,Sociology,BA,18000,93.846153
10000291,Sociology,BA,18000,101
10000291,Sociology,BA,27000,0
10000291,Software  Development,BSc,24000,94.210526
10000291,Software  Development,BSc,24000,94.210526
10000291,Sport  and  Exercise  Science,BSc,18000,57.375
10000291,Sport  and  Exercise  Science,BSc,18000,103.5
10000291,Sports  Coaching  and  Physical  Education,BSc,18000,96
10000291,Sports  Coaching  and  Physical  Education,BSc,18000,68.5
10000291,Sports  Coaching  and  Physical  Education,BSc,18000,92
10000291,Tourism  Management,BSc,21000,107.25
10000291,Tourism  Management,BSc,18000,85
10000291,Veterinary  Nursing  and  Applied  Animal  Behaviour,BSc,18000,108.85714
10000291,Writing  and  English  Literature,BA,18000,92
10000291,Zoology,BSc,16000,98.5
10000291,Zoology,BSc,16000,73
10000291,Zoology,BSc,16000,88.333336
10000385,Acting,BA,17000,131.1579
10000385,Animation  Production,BA,17000,145.76471
10000385,Architecture,BA,19000,96
10000385,Art  and  Design  History,BA,16000,122.26316
10000385,Commercial  Photography,BA,17000,148.09091
10000385,Costume  and  Performance  Design,BA,17000,149.45454
10000385,Creative  Events  Management,BA,19000,112
10000385,Creative  Writing,BA,17000,148.28572
10000385,Dance,BA,17000,150.42857
10000385,Drawing,BA,16000,122.26316
10000385,Fashion,BA,18000,138.5
10000385,Fashion  Branding  and  Communication,BA,18000,152.18182
10000385,Film  Production,BA,17000,149.29411
10000385,Fine  Art,BA,16000,122.26316
10000385,Graphic  Design,BA,18000,157.125
10000385,Illustration,BA,18000,168.33333
10000385,Interior  Architecture  and  Design,BA,18000,133
10000385,Make-up  for  Media  and  Performance,BA,17000,139.66667
10000385,Modelmaking,BA,18000,144
10000385,Photography,BA,17000,150.92308
10000385,Textiles,BA,18000,151.5
10000385,Visual  Communication,BA,18000,154
10000385,Visual  Effects  Design  and  Production,BA,17000,119.5
10007162,3D  Effects  for  Performance  and  Fashion,BA,19000,112
10007162,Acting,BA,19000,138
10007162,Advertising,BA,19000,112
10007162,Animation,BA,18000,99.75
10007162,Architecture,BA,21000,96
10007162,Bespoke  Tailoring,BA,19000,112
10007162,Ceramic  Design,BA,19000,125.23529
10007162,Cordwainers  Fashion  Bags  and  Accessories:  Product  Design  and  Innovation,BA,19000,90.714287
10007162,Cordwainers  Footwear:  Product  Design  and  Innovation,BA,19000,112
10007162,Costume  for  Performance,BA,19000,112
10007162,Costume  for  Theatre  and  Screen,BA,19000,134.66667
10007162,Creative  Direction  for  Fashion,BA,19000,112
10007162,Culture  Criticism  And  Curation,BA,19000,131.75
10007162,Design  for  Art  Direction,BA,18000,103.5
10007162,Design  for  Branded  Spaces,BA,19000,125.23529
10007162,Design  Management  and  Cultures,BA,19000,125.23529
10007162,Directing,MA,19000,134.66667
10007162,Drawing,BA,19000,123.25
10007162,Fashion  Buying  and  Merchandising,BA,24000,122
10007162,Fashion  Communication:  Fashion  Communication  and  Promotion,BA,19000,125.23529
10007162,Fashion  Communication:  Fashion  History  and  Theory,BA,19000,112
10007162,Fashion  Communication:  Fashion  Journalism,BA,19000,117
10007162,Fashion  Contour,BA,19000,116.28571
10007162,Fashion  Design  and  Development,BA,19000,147
10007162,Fashion  Design  Technology:  Menswear,BA,19000,138
10007162,Fashion  Design  Technology:  Womenswear,BA,19000,163
10007162,Fashion  Illustration,BA,19000,144
10007162,Fashion  Jewellery,BA,19000,125.23529
10007162,Fashion  Journalism,BA,20000,134
10007162,Fashion  Management,BSc,24000,138
10007162,Fashion  Marketing,BA,21000,135.5
10007162,Fashion  Media  Practice  and  Criticism,MA,20000,133
10007162,Fashion  Pattern  Cutting,BA,19000,148.28572
10007162,Fashion  Photography,BA,18000,131
10007162,Fashion  Public  Relations  and  Communication,BA,20000,112
10007162,Fashion  Sportswear,BA,19000,125.23529
10007162,Fashion  Styling  and  Production,BA,18000,119.5
10007162,Fashion  Textiles:  Embroidery,BA,19000,135.5
10007162,Fashion  Textiles:  Knit,BA,19000,128
10007162,Fashion  Textiles:  Print,BA,19000,125.23529
10007162,Fashion  Visual  Merchandising  and  Branding,BA,19000,112
10007162,Fashion:  Design  With  Knitwear,BA,19000,125.23529
10007162,Fashion:  Design  With  Marketing,BA,19000,125.23529
10007162,Fashion:  Fashion  Design  Menswear,BA,19000,125.23529
10007162,Fashion:  Fashion  Design  Womenswear,BA,19000,125.23529
10007162,Fashion:  Fashion  Print,BA,19000,125.23529
10007162,Film  and  Television,BA,18000,109.125
10007162,Fine  Art,BA,18000,144
10007162,Fine  Art,BA,18000,119.5
10007162,Fine  Art:  Painting,BA,18000,128
10007162,Fine  Art:  Print  and  Time  Based  Media,BA,18000,119.5
10007162,Fine  Art:  Sculpture,BA,18000,117
10007162,Graphic  and  Media  Design,BA,19000,118
10007162,Graphic  Branding  and  Identity,BA,19000,105
10007162,Graphic  Communication  Design,BA,19000,125.33334
10007162,Graphic  Design,BA,19000,135.5
10007162,Graphic  Design,FDA,20000,80
10007162,Graphic  Design  Communication,BA,19000,149
10007162,Hair  and  Make-up  for  Fashion,BA,19000,96
10007162,Hair  Make-up  and  Prosthetics  for  Performance,BA,19000,146.5
10007162,Illustration,BA,19000,128
10007162,Illustration,FDA,20000,64
10007162,Illustration  and  Visual  Media,BA,19000,128
10007162,Information  and  Interface  Design,BA,19000,125.23529
10007162,Interaction  Design  Arts,BA,19000,125.23529
10007162,Interior  and  Spatial  Design,BA,19000,101.625
10007162,Interior  Design,FDA,20000,87.5
10007162,Jewellery  Design,BA,19000,125.23529
10007162,Journalism,BA,20000,107.25
10007162,Magazine  Journalism  and  Publishing,BA,20000,96
10007162,Painting,BA,18000,119.5
10007162,Performance  Design  and  Practice,BA,19000,134.66667
10007162,Photography,BA,18000,108
10007162,Photography,BA,18000,112
10007162,Photojournalism  and  Documentary  Photography,BA,20000,107.25
10007162,Product  Design,BA,19000,123.25
10007162,Production  Arts  for  Screen,BA,19000,134.66667
10007162,Public  Relations,BA,21000,106
10007162,Sculpture,BA,18000,123.25
10007162,Sound  Arts  and  Design,BA,19000,115.33334
10007162,Strategic  Fashion  Management,MSc,24000,151.5
10007162,Textile  Design,BA,19000,131
10007162,Textile  Design,BA,19000,116.28571
10007162,Theatre  Design,BA,19000,134.66667
10007162,Three-Dimensional  Design,BA,19000,125.23529
10000415,Agriculture,BSc,18000,0
10000415,Agriculture,FdSc,15600,0
10000415,Animal  Management,FdSc,15600,0
10000415,Animal  Management  and  Science,BSc,18000,0
10000415,Arboriculture  and  Urban  Forestry,FdSc,16000,0
10000415,Canine  and  Feline  Training  and  Behaviour,FdSc,16000,0
10000415,Countryside  Management,FdSc,15600,0
10000415,Equine  Science,BSc,18000,0
10000415,Equine  Science  and  Management,FdSc,15600,0
10000415,Horticulture,FdSc,15600,0
10000415,Horticulture  with  Landscape  Garden  Management,BSc,18000,0
10007759,Accounting  For  Management,BSc,20000,149.625
10007759,Biological  Sciences,BSc,18000,135.5
10007759,Biological  Sciences,MBiol,18000,130.14285
10007759,Biomedical  Engineering,BEng,26000,109.33334
10007759,Biomedical  Engineering,MEng,26000,109.33334
10007759,Biomedical  Science,BSc,20000,131.1579
10007759,Business  and  Management,BSc,21000,160.48387
10007759,Business  Computing  and  IT,BSc,21000,155.25
10007759,Business  Management  and  Public  Policy,BSc,25000,118
10007759,Chemical  Engineering,BEng,26000,130.14285
10007759,Chemical  Engineering,MEng,26000,130.14285
10007759,Communications  Engineering,BEng,26000,133
10007759,Computing  for  Business,BSc,23000,128
10007759,Computing  Science,BSc,23000,150
10007759,Computing  Science  and  Mathematics,BSc,23000,147.52942
10007759,Design  Engineering,BEng,27000,96
10007759,Economics  And  Management,BSc,25000,136.03572
10007759,Electrical  and  Electronic  Engineering,BEng,26000,138
10007759,Electrical  and  Electronic  Engineering,MEng,26000,133
10007759,Electromechanical  Engineering,BEng,27000,137.75
10007759,English  Language,BSc,18000,124
10007759,English  Language  &  Literature,BSc,18000,123.89655
10007759,Finance,BSc,20000,137
10007759,French,BSc,20000,123.25
10007759,French  including  School  Experience,BSc,20000,123.25
10007759,German,BSc,19000,128
10007759,German  including  School  Experience,BSc,19000,128
10007759,Healthcare  Science  (Audiology),BSc,22000,149
10007759,Human  Resource  Management,BSc,21000,144
10007759,Industrial  Product  Design,BSc,27000,125.33334
10007759,International  Business  And  Economics,BSc,25000,128
10007759,International  Business  And  Management,BSc,21000,148.82143
10007759,Logistics  with  Purchasing  Management,BSc,26000,138
10007759,Logistics  with  Supply  Chain  Management,BSc,26000,138
10007759,Logistics  with  Transport  Management,BSc,26000,138
10007759,Marketing,BSc,20000,154.5
10007759,Mathematics,BSc,22000,132.21875
10007759,Mathematics  for  Industry,BSc,22000,126.23077
10007759,Mathematics  with  Economics,BSc,27000,112
10007759,Mechanical  Engineering,MEng,27000,136.33333
10007759,Mechanical  Engineering,BEng,27000,136.33333
10007759,Multimedia  Computing,BSc,23000,133
10007759,Neuroscience,BSc,21000,137.09091
10007759,Optometry,BSc,15000,150
10007759,Optometry,MOptom,15000,150
10007759,Pharmacy,MPharm,19000,142.14285
10007759,Politics  with  International  Relations,BSc,21000,114.5
10007759,Product  Design  and  Management,BSc,27000,146.5
10007759,Psychology,BSc,18000,130.88461
10007759,Psychology,BSc,18000,130.88461
10007759,Sociology,BSc,18000,112
10007759,Spanish,BSc,19000,118.66666
10007759,Spanish  including  School  Experience,BSc,19000,112
10007759,Transport  Product  Design,BSc,27000,137.75
10007857,Addysg  Gynradd,BA,22000,163
10007857,Adult  Nursing,BN,22000,141
10007857,Applied  Marine  Biology,BSc,18000,152.57143
10007857,Applied  Terrestrial  And  Marine  Ecology,BSc,18000,125.125
10007857,Applied  Terrestrial  And  Marine  Ecology,BSc,18000,125.125
10007857,Bilingualism,MArts,17000,124.85714
10007857,Biology,BSc,18000,119.5
10007857,Biology,MBiol,18000,96
10007857,Biology  With  Biotechnology,BSc,18000,131.52942
10007857,Biology  With  Biotechnology,MBiol,18000,131.52942
10007857,Biomedical  Sciences,BSc,18000,144
10007857,Business  Economics,BSc,19000,106.71429
10007857,Business  Studies,BSc,19000,135.5
10007857,Business  Studies  With  Spanish,BA,19000,135.5
10007857,Chemistry,BSc,21000,117
10007857,Chemistry,MChem,21000,119.5
10007857,Chemistry  With  Industrial  Experience,BSc,21000,96
10007857,Chemistry  With  Industrial  Experience,MChem,21000,119.5
10007857,Children'S  Nursing,BN,22000,147
10007857,Computer  Information  Systems,BSc,21000,106
10007857,Computer  Information  Systems  for  Business,BSc,21000,121.23077
10007857,Computer  Science,BSc,21000,112
10007857,Computer  Systems  Engineering,BEng,24000,115.75
10007857,Computer  Systems  Engineering,BSc,24000,115.75
10007857,Computer  Systems  Engineering,MEng,24000,115.75
10007857,Conservation  with  Forestry  (with  placement  year),BSc,22000,165
10007857,Control  And  Instrumentation  Engineering,MEng,24000,115.75
10007857,Creative  And  Professional  Writing,BA,15000,133
10007857,Creative  Practice,MArts,15000,134
10007857,Creative  Studies,BA,15000,151.5
10007857,Criminology  &  Criminal  Justice,MSoc,17000,130.72728
10007857,Criminology  And  Criminal  Justice,BA,17000,112
10007857,Critical  Safety  Engineering,MEng,24000,115.75
10007857,Cymdeithaseg  a  Troseddeg  a  Chyfiawnder  Troseddol,BA,17000,130.72728
10007857,Cymdeithaseg  And  Health  And  Social  Care,BA,17000,130.72728
10007857,Cymraeg,BA,18000,160
10007857,Cymraeg  Proffesiynol,BA,18000,165
10007857,Design  And  Technology,BSc,22000,146.30769
10007857,Diagnostic  Radiography,BSc,22000,166
10007857,Dylunio  Cynnyrch,BSc,16000,112
10007857,Electronic  Engineering,BEng,24000,114.5
10007857,Electronic  Engineering,BSc,24000,80
10007857,Electronic  Engineering,MEng,24000,140
10007857,English  Language,BA,17000,128
10007857,English  Language  And  English  Literature,BA,17000,121.70588
10007857,English  Language  for  TEFL,BA,17000,121.70588
10007857,English  Language  for  TEFL,MArts,17000,121.70588
10007857,English  Language  with  English  Literature,BA,17000,121.70588
10007857,English  Law  and  French  Law,LLB,17000,137
10007857,English  Literature,MArts,17000,121.70588
10007857,English  Literature,BA,17000,96
10007857,English  Literature  With  English  Language,BA,17000,121.70588
10007857,Environmental  Conservation,BSc,18000,122
10007857,Environmental  Conservation,BSc,18000,138
10007857,Environmental  Management,MEnvSci,18000,121.23077
10007857,Environmental  Management,BSc,18000,121.23077
10007857,Environmental  Science,MEnvSci,18000,121.23077
10007857,Environmental  Sciences,BSc,18000,133
